Time,State,Entity,Confirmed,Deaths,Recovered,Latitude,Longitude
2020-03-30 22:52:45,Pennsylvania,Beaver,44,0,0,40.6825484,-80.34921611
2020-03-30 22:52:45,Utah,Beaver,0,0,0,38.35657051,-113.2342232
2020-03-30 22:52:45,Montana,Beaverhead,0,0,0,45.13434354,-112.89846940000001
2020-03-30 22:52:45,Minnesota,Becker,0,0,0,46.93479392,-95.67158144
2020-03-30 22:52:45,Oklahoma,Beckham,1,0,0,35.26862449,-99.68128023
2020-03-30 22:52:45,Pennsylvania,Bedford,0,0,0,40.00522157,-78.48998442
2020-03-30 22:52:45,Tennessee,Bedford,1,0,0,35.51123746,-86.45549096
2020-03-30 22:52:45,Virginia,Bedford,2,0,0,37.3080028,-79.5281964
2020-03-30 22:52:45,Texas,Bee,0,0,0,28.41761668,-97.74215593
2020-03-30 22:52:45,New Hampshire,Belknap,9,0,0,43.51637314,-71.41684235
2020-03-30 22:52:45,Kentucky,Bell,0,0,0,36.73355174,-83.67766671
2020-03-30 22:52:45,Texas,Bell,36,1,0,31.03736027,-97.4785025
2020-03-30 22:52:45,Ohio,Belmont,8,0,0,40.01625942,-80.9924051
2020-03-30 22:52:45,Minnesota,Beltrami,3,0,0,47.97373527,-94.93732139
2020-03-30 22:52:45,Georgia,Ben Hill,2,0,0,31.76095874,-83.22145359
2020-03-30 22:52:45,Idaho,Benewah,0,0,0,47.21754179,-116.6586851
2020-03-30 22:52:45,South Dakota,Bennett,0,0,0,43.19486375,-101.6665572
2020-03-30 22:52:45,Vermont,Bennington,16,0,0,43.03519828,-73.09048868
2020-03-30 22:52:45,North Dakota,Benson,0,0,0,48.0683985,-99.35916363
2020-03-30 22:52:45,Colorado,Bent,0,0,0,37.95474293,-103.0720195
2020-03-30 22:52:45,Arkansas,Benton,35,0,0,36.33644656,-94.25680817
2020-03-30 22:52:45,Indiana,Benton,0,0,0,40.60626947,-87.31093999
2020-03-30 22:52:45,Iowa,Benton,7,0,0,42.08011739,-92.06463573
2020-03-30 22:52:45,Minnesota,Benton,1,0,0,45.69804958,-93.99514135
2020-03-30 22:52:45,Mississippi,Benton,4,0,0,34.81681228,-89.18945516
2020-03-30 22:52:45,Missouri,Benton,1,0,0,38.29503305,-93.28756116
2020-03-30 22:52:45,Oregon,Benton,9,0,0,44.49167306,-123.4316987
2020-03-30 22:52:45,Tennessee,Benton,3,0,0,36.07110411,-88.06849355
2020-03-30 22:52:45,Washington,Benton,102,5,0,46.23946995,-119.51208340000001
2020-03-30 22:52:45,Michigan,Benzie,0,0,0,44.63899297,-86.01608482
2020-03-30 22:52:45,New Jersey,Bergen,2482,23,0,40.96010917,-74.07164325
2020-03-30 22:52:45,South Carolina,Berkeley,14,0,0,33.20222596,-79.94654523
2020-03-30 22:52:45,West Virginia,Berkeley,14,0,0,39.46704621,-78.02414609
2020-03-30 22:52:45,Pennsylvania,Berks,82,0,0,40.41570541,-75.92457766
2020-03-30 22:52:45,Massachusetts,Berkshire,162,3,0,42.37428441,-73.20524838
2020-03-30 22:52:45,New Mexico,Bernalillo,101,1,0,35.05163625,-106.6703554
2020-03-30 22:52:45,Georgia,Berrien,1,0,0,31.27590016,-83.22529920000002
2020-03-30 22:52:45,Michigan,Berrien,32,0,0,41.95447397,-86.41313079999998
2020-03-30 22:52:45,North Carolina,Bertie,5,0,0,36.0688473,-76.96545943
2020-03-30 22:52:45,Alaska,Bethel,0,0,0,60.90980451,-159.8561831
2020-03-30 22:52:45,Texas,Bexar,157,6,0,29.44928723,-98.52019748
2020-03-30 22:52:45,Alabama,Bibb,2,0,0,32.99642064,-87.12511459999996
2020-03-30 22:52:45,Georgia,Bibb,15,0,0,32.80904227,-83.70489165
2020-03-30 22:52:45,Louisiana,Bienville,5,1,0,32.34569994,-93.05398492
2020-03-30 22:52:45,Montana,Big Horn,0,0,0,45.42335905,-107.492347
